Class name,Subject name,Unit name,Chapter name
Class 10,Mathematics,Unit 1: Number System,Chapter-1 Real Numbers.
Class 10,Mathematics,Unit 2: Algebra,Chapter-2 Polynomials.
Class 10,Mathematics,Unit 2: Algebra,Chapter-3 Pair of Linear Equations in Two Variables.
Class 10,Mathematics,Unit 2: Algebra,Chapter-4 Quadratic Equations.
Class 10,Mathematics,Unit 2: Algebra,Chapter-5 Arithmetic Progressions.
Class 10,Mathematics,Unit 4: Geometry,Chapter-6 Triangles.
Class 10,Mathematics,Unit 3: Coordinate Geometry,Chapter-7 Coordinate Geometry.
Class 10,Mathematics,Unit 5: Trigonometry,Chapter-8 Introduction to Trigonometry.
Class 10,Mathematics,Unit 5: Trigonometry,Chapter-9  Applications of Trigonometry
Class 10,Mathematics,Unit 4: Geometry,Chapter-10 circles
Class 10,Mathematics,Unit 6: Mensuration,Chapter-11 Areas related to circles
Class 10,Mathematics,Unit 6: Mensuration,Chapter-12 Surface area and volumes
Class 10,Mathematics,Unit 7: Statistics and Probability,Chapter-13 Statistics
Class 10,Mathematics,Unit 7: Statistics and Probability,Chapter-14 Probability
Class 10,Science,Chemistry,Chapter- 1 Chemical Reactions
Class 10,Science,Chemistry,'Chapter-2 Acids, bases and salts'
Class 10,Science,Chemistry,Chapter-3 Metals & Non-metals
Class 10,Science,Chemistry,Chapter-4 Carbon compounds
Class 10,Science,Chemistry,Chapter 5- Periodic classification of elements
Class 10,Science,Biology,Chapter-6 Life Processes
Class 10,Science,Biology,Chapter-7 Control and co-ordination in animals and plants
Class 10,Science,Biology,Chapter-8 How do organisms reproduce ?
Class 10,Science,Biology,Chapter-9 Heredity and Evolution
Class 10,Science,Biology,Chapter-10 Our Environment
Class 10,Science,Physics,Chapter-11 Light
Class 10,Science,Physics,Chapter-12 Human Eye
Class 10,Science,Physics,Chapter-13 Electricity
Class 10,Science,Physics,Chapter 14 Magnetic effects of electric current
Class 10,Science,Physics,Chapter 15 Sources Of Energy
Class 10,Social Science,History,Chapter-1 The Rise of Nationalism in Europe
Class 10,Social Science,History,Chapter-2 Nationalism in India
Class 10,Social Science,History,Chapter-3 The Making of a Global World
Class 10,Social Science,History,Chapter-4 The Age of Industrialization
Class 10,Social Science,History,Chapter-5 Print Culture and the Modern World
Class 10,Social Science,Geography,
Class 10,Social Science,Geography,Chapter-2 Forest and Wildlife
Class 10,Social Science,Geography,Chapter-3 Water Resources
Class 10,Social Science,Geography,Chapter-4 Agriculture
Class 10,Social Science,Geography,Chapter-5 Minerals and Energy Resources
Class 10,Social Science,Geography,Chapter-6 Manufacturing Industries
Class 10,Social Science,Geography,Chapter- 7 Life Lines of National Economy
Class 10,Social Science,Democratic Politics,Chapter-1 Power Sharing
Class 10,Social Science,Democratic Politics,Chapter-2 Federalism
Class 10,Social Science,Democratic Politics,Chapter 3 Democracy and Diversity (Deleted)
Class 10,Social Science,Democratic Politics,'Chapter-4 Gender, Religion, and Caste'
Class 10,Social Science,Democratic Politics,Chapter-5 Popular Struggles and Movements
Class 10,Social Science,Democratic Politics,Chapter-6 Political Parties
Class 10,Social Science,Democratic Politics,Chapter-7 Outcomes of Democracy
Class 10,Social Science,Democratic Politics,Chapter-8 Challenges to Democracy
Class 10,Social Science,Economics,Chapter-1 Development
Class 10,Social Science,Economics,Chapter-2 Sectors of the Indian Economy
Class 10,Social Science,Economics,Chapter-3 Money and Credit
Class 10,Social Science,Economics,Chapter-4 Globalization and the Indian Economy
Class 10,Social Science,Economics,Chapter-5 Consumer Rights
