Class name Subject namUnit name  Chapter nam
Class 10   MathematicsUnit 1: NumChapter-1 R
Class 10   MathematicsUnit 2: AlgChapter-2 P
Class 10   MathematicsUnit 2: AlgChapter-3 P
Class 10   MathematicsUnit 2: AlgChapter-4 Q
Class 10   MathematicsUnit 2: AlgChapter-5 A
Class 10   MathematicsUnit 4: GeoChapter-6 T
Class 10   MathematicsUnit 3: CooChapter-7 C
Class 10   MathematicsUnit 5: TriChapter-8 I
Class 10   MathematicsUnit 5: TriChapter-9  
Class 10   MathematicsUnit 4: GeoChapter-10 
Class 10   MathematicsUnit 6: MenChapter-11 
Class 10   MathematicsUnit 6: MenChapter-12 
Class 10   MathematicsUnit 7: StaChapter-13 
Class 10   MathematicsUnit 7: StaChapter-14 
Class 10   Science    Chemistry  Chapter- 1 
Class 10   Science    Chemistry  Chapter-2 A
Class 10   Science    Chemistry  Chapter-3 M
Class 10   Science    Chemistry  Chapter-4 C
Class 10   Science    Chemistry  Chapter 5- 
Class 10   Science    Biology    Chapter-6 L
Class 10   Science    Biology    Chapter-7 C
Class 10   Science    Biology    Chapter-8 H
Class 10   Science    Biology    Chapter-9 H
Class 10   Science    Biology    Chapter-10 
Class 10   Science    Physics    Chapter-11 
Class 10   Science    Physics    Chapter-12 
Class 10   Science    Physics    Chapter-13 
Class 10   Science    Physics    Chapter 14 
Class 10   Science    Physics    Chapter 15 
Class 10   Social ScieHistory    Chapter-1 T
Class 10   Social ScieHistory    Chapter-2 N
Class 10   Social ScieHistory    Chapter-3 T
Class 10   Social ScieHistory    Chapter-4 T
Class 10   Social ScieHistory    Chapter-5 P
Class 10   Social ScieGeography  
Class 10   Social ScieGeography  Chapter-2 F
Class 10   Social ScieGeography  Chapter-3 W
Class 10   Social ScieGeography  Chapter-4 A
Class 10   Social ScieGeography  Chapter-5 M
Class 10   Social ScieGeography  Chapter-6 M
Class 10   Social ScieGeography  Chapter- 7 
Class 10   Social ScieDemocratic Chapter-1 P
Class 10   Social ScieDemocratic Chapter-2 F
Class 10   Social ScieDemocratic Chapter 3 D
Class 10   Social ScieDemocratic Chapter-4 G
Class 10   Social ScieDemocratic Chapter-5 P
Class 10   Social ScieDemocratic Chapter-6 P
Class 10   Social ScieDemocratic Chapter-7 O
Class 10   Social ScieDemocratic Chapter-8 C
Class 10   Social ScieEconomics  Chapter-1 D
Class 10   Social ScieEconomics  Chapter-2 S
Class 10   Social ScieEconomics  Chapter-3 M
Class 10   Social ScieEconomics  Chapter-4 G
Class 10   Social ScieEconomics  Chapter-5 C
Class 10   English    Literature-Chapter 1 A
Class 10   English    Literature-Chapter 2 N
Class 10   English    Literature-Chapter 3 T
Class 10   English    Literature-Chapter 4 F
Class 10   English    Literature-Chapter 5 D
Class 10   English    Literature-Chapter 6 D
Class 10   English    Literature-Chapter 7.G
Class 10   English    Literature-Chapter 8 M
Class 10   English    Literature-Chapter 9 M
Class 10   English    Literature-Chapter 10 
Class 10   English    Literature-Chapter 11 
Class 10   English    Literature Chapter 1 A
Class 10   English    Literature Chapter 2 T
Class 10   English    Literature Chapter 3 T
Class 10   English    Literature Chapter 4 A
Class 10   English    Literature Chapter 5 F
Class 10   English    Literature Chapter 6 T
Class 10   English    Literature Chapter 7 T
Class 10   English    Literature Chapter 8 B
Class 10   English    Literature Chapter 9 T
Class 10   English    Literature 
Class 9    MathematicsNumber Syst1. REAL NUM
Class 9    MathematicsAlgebra    1. POLYNOMI
Class 9    MathematicsAlgebra    2. LINEAR E
Class 9    MathematicsCoordinate COORDINATE 
Class 9    MathematicsGeometry   1. INTRODUC
Class 9    MathematicsGeometry   2. LINES AN
Class 9    MathematicsGeometry   3. TRIANGLE
Class 9    MathematicsGeometry   4. QUADRILA
Class 9    MathematicsGeometry   5. CIRCLES 
Class 9    MathematicsMensuration1. HERON'S 
Class 9    MathematicsMensuration2. SURFACE 
Class 9    MathematicsStatistics 1. STATISTI
Class 9    Science    Chapter 1  Matter in o
Class 9    Science    Chapter 2  Is matter a
Class 9    Science    Chapter 3  Atoms and m
Class 9    Science    Chapter 4  Structure o
Class 9    Science    Chapter 5  The fundame
Class 9    Science    Chapter 6  Tissues    
Class 9    Science    Chapter 7  Deleted (Di
Class 9    Science    Chapter 8  Motion     
Class 9    Science    Chapter 9  Force and l
Class 9    Science    Chapter 10 Gravitation
Class 9    Science    Chapter 11 Work and En
Class 9    Science    Chapter 12 Sound      
Class 9    Science    Chapter 13 Deleted (Wh
Class 9    Science    Chapter 14 Natural Res
Class 9    Science    Chapter 15 Improvement
Class 9    Social ScieHistory    Chapter 1 F
Class 9    Social ScieHistory    Chapter 2 S
Class 9    Social ScieHistory    Chapter 3 N
Class 9    Social ScieHistory    Chapter 4 F
Class 9    Social ScieHistory    Chapter 5 P
Class 9    Social ScieGeography  Chapter 1 I
Class 9    Social ScieGeography  Chapter 2 P
Class 9    Social ScieGeography  Chapter 3 D
Class 9    Social ScieGeography  Chapter 4 C
Class 9    Social ScieGeography  Chapter 5 N
Class 9    Social ScieGeography  Chapter 6 P
Class 9    Social ScieDemocratic Chapter 1 W
Class 9    Social ScieDemocratic Chapter 2 C
Class 9    Social ScieDemocratic Chapter 3 E
Class 9    Social ScieDemocratic Chapter 4 W
Class 9    Social ScieDemocratic Chapter 5 D
Class 9    Social ScieEconomics  Chapter 1 T
Class 9    Social ScieEconomics  Chapter 2 P
Class 9    Social ScieEconomics  Chapter 3 P
Class 9    Social ScieEconomics  Chapter 4 F
Class 9    English    Course BookChapter 1Th
Class 9    English    Course BookChapter 2 T
Class 9    English    Course BookChapter 3 T
Class 9    English    Course BookChapter 4 A
Class 9    English    Course BookChapter 5 T
Class 9    English    Course BookChapter 6 M
Class 9    English    Course BookChapter 7 D
Class 9    English    Course BookChapter 8 R
Class 9    English    Course BookChapter 9 D
Class 9    English    Course BookChapter 10 
Class 9    English    Course BookChapter 11 
Class 9    English    SupplementaChapter 1 T
Class 9    English    SupplementaChapter 2 T
Class 9    English    SupplementaChapter 3 I
Class 9    English    SupplementaChapter 4 I
Class 9    English    SupplementaChapter 5 T
Class 9    English    SupplementaChapter 6 D
Class 9    English    SupplementaChapter 7 T
Class 9    English    SupplementaChapter 8 A
Class 9    English    SupplementaChapter 9 D
Class 9    English    SupplementaChapter 10 
