,Subject,Unit, ,
Class 10, ,Unit 1: Number System,Chapter-1 Real Numbers.,
,,Unit 2: Algebra,Chapter-2 Polynomials.,
,,,Chapter-3 Pair of Linear Equations in Two Variables.,
,,,Chapter-4 Quadratic Equations.,
,,,Chapter-5 Arithmetic Progressions.,
,,Unit 4: Geometry,Chapter-6 Triangles.,
,,Unit 3: Coordinate Geometry,Chapter-7 Coordinate Geometry.,
,,Unit 5: Trigonometry,Chapter-8 Introduction to Trigonometry.,
,,,Chapter-9  Applications of Trigonometry,
,,Unit 4: Geometry,Chapter-10 circles,
,,Unit 6: Mensuration,Chapter-11 Areas related to circles,
,,,Chapter-12 Surface area and volumes,
,,Unit 7: Statistics and Probability,Chapter-13 statistics,
,,,Chapter-14 Probability,
,,,,
,,Chemistry,Chapter- 1 Chemical Reactions,
,,,"Chapter-2 Acids, bases and salts",
,,,Chapter-3 Metals & Non-metals,
,,,Chapter-4 Carbon compounds,
,,,Chapter 5- Periodic classification of elements,
,,Biology,Chapter-6 Life Processes,
,,,Chapter-7 Control and co-ordination in animals and plants,
,,,Chapter-8 How do organisms reproduce ?,
,,,Chapter-9 Heredity and Evolution,
,,Physics,Chapter-10 Light,
,,,Chapter-11 Human Eye,
,,,Chapter-12 Electricity,
,,,Chapter 13 Magnetic effects of electric current,
,,,Chapter 14 Sources Of Energy,
,,Biology,Chapter-15 Our Environment,
,Social Science,History,Chapter-1 The Rise of Nationalism in Europe,
,,,Chapter-2 Nationalism in India,
,,,Chapter-3 The Making of a Global World,
,,,Chapter-4 The Age of Industrialization,
,,,Chapter-5 Print Culture and the Modern World,
,,Geography,,
,,,Chapter-2 Forest and Wildlife,
,,,Chapter-3 Water Resources,
,,,Chapter-4 Agriculture,
,,,Chapter-5 Minerals and Energy Resources,
,,,Chapter-6 Manufacturing Industries,
,,,Chapter- 7 Life Lines of National Economy,
,,Democratic Politics,Chapter-1 Power Sharing,
,,,Chapter-2 Federalism,
,,,Chapter 3 Democracy and Diversity (Deleted),
,,,"Chapter-4 Gender, Religion, and Caste",
,,,Chapter-5 Popular Struggles and Movements,
,,,Chapter-6 Political Parties,
,,,Chapter-7 Outcomes of Democracy,
,,,Chapter-8 Challenges to Democracy,
,,Economics,Chapter-1 Development,
,,,Chapter-2 Sectors of the Indian Economy,
,,,Chapter-3 Money and Credit,
,,,Chapter-4 Globalization and the Indian Economy,
,,,Chapter-5 Consumer Rights,
,English,Literature- First Flight,"Chapter 1 A letter to god
1.Dust of Snow
2.Fire and Ice
3.A Tiger in the Zoo
4.How to Tell Wild Animals",
,,,Chapter 2 Nelson Mandela,
,,,"Chapter 3 Two Storie
about flying:
(i). His First flight
(ii). The Black Aeroplane
Poem 
5. The ball poem",
,,,"Chapter 4 From the diary of Anne Frank
Poem 6 Amanda",
,,,Chapter 5 Deleted,
,,,Chapter 6 Deleted,
,,,"Chapter 7.Glimpses Of
India
● Goa
● Assam
● Coorg",
,,,"Chapter 8 Mijable the otter
Poem 7 Trees",
,,,"Chapter 9 Madam rides the bus
Poem 8 Fog",
,,,"Chapter 10 The sermon at benarus
Poem 10 For Anne Greogory",
,,,"Chapter 11 The Proposal
Poem 9 The tale of custard the dragon",
,,Literature footprints without feet,Chapter 1 A triumph of surgery,
,,,Chapter 2 The thief's story,
,,,Chapter 3 The mid night visitor,
,,,Chapter 4 A question of trust,
,,,Chapter 5 Foot prints without feet,
,,,Chapter 6 The making of a scientist,
,,,Chapter 7 The necklace,
,,,Chapter 8 Bholi,
,,,Chapter 9 The book that saved the earth,
,,,,
Class 9,Mathematics,Number Systems,1. REAL NUMBERS,
,,Algebra,"1. POLYNOMIALS
2. LINEAR EQUATIONS IN TWO VARIABLES",
,,Coordinate Geometry,COORDINATE GEOMETRY,
,,Geometry,"1. INTRODUCTION TO EUCLID'S GEOMETRY
2. LINES AND ANGLES
3. TRIANGLES
4. QUADRILATERALS
5. CIRCLES",
,,Mensuration,"1. HERON'S FORMULA
2. SURFACE AREAS AND VOLUMES",
,,Statistics ,1. STATISTICS,
,,,,
,Science,Chapter 1,Matter in our surroundings,
,,Chapter 2,Is matter around us pure?,
,,Chapter 3,Atoms and molecules,
,,Chapter 4,Structure of an atom,
,,Chapter 5,The fundamental unit of life- Cell,
,,Chapter 6,Tissues,
,,Chapter 7,Deleted (Diversity in living organism),
,,Chapter 8,Motion,
,,Chapter 9,Force and laws of motion,
,,Chapter 10,Gravitation,
,,Chapter 11,Work and Energy,
,,Chapter 12,Sound,
,,Chapter 13,Deleted (Why do we fall?),
,,Chapter 14,Natural Resources (for Internal Assessment),
,,Chapter 15,Improvement in food resourses,
,Social Science,History,Chapter 1 French Revolution,
,,,Chapter 2 Socialism in Europe,
,,,Chapter 3 Nazism and the rise of Hitler,
,,,"Chapter 4 Forest, Society and Colonialism",
,,,Chapter 5 Pastoralists in the modern world,
,,Geography,Chapter 1 India- Size and Location,
,,,Chapter 2 Physical features of India,
,,,Chapter 3 Drainage,
,,,Chapter 4 Climate,
,,,Chapter 5 Natural Vegetation and Wild Life,
,,,Chapter 6 Population,
,,Democratic Politics,Chapter 1 What is Democracy? Why Democracy?,
,,,Chapter 2 Constitutional Design,
,,,Chapter 3 Electoral Politics,
,,,Chapter 4 Working of Instutions,
,,,Chapter 5 Democratic Rights,
,,Economics,Chapter 1 The Story of Village Palampur,
,,,Chapter 2 People as Resource,
,,,Chapter 3 Poverty as a Challenge,
,,,Chapter 4 Food Security in India,
,,,,
,English,Course Book,"Chapter 1The Fun they had
Poem 1  The road not taken",
,,,"Chapter 2 The Sound of music
Poem 2 Wind",
,,,Chapter 3 The Little Girl,
,,,"Chapter 4 A truely beautiful mind
Poem 3 Rain on the roof",
